Creating gesture-gesture similarity matrix based on Dot product similarity...
Found Gesture-Gesture Similarity Matrix Performing SVD
Principal Component 1 Similarity Scores:
Gesture |       Score
260     |       0.1719834242228833
254     |       0.16224276229209594
250     |       0.15770033814509832
271     |       0.1555794025708687
258     |       0.15404398519553777
252     |       0.1531650851215181
266     |       0.14907991402299597
279     |       0.14323614646641822
579     |       0.14129938439470596
261     |       0.140947875411198
263     |       0.13936995951511158
584     |       0.1342001788216501
256     |       0.13089625534091567
257     |       0.13072549273121536
572     |       0.12981235991817733
2       |       0.12671106640466512
277     |       0.1263023952567232
6       |       0.12616307504305194
583     |       0.12429723058969605
576     |       0.12407284600706521
249     |       0.12208077896454476
18      |       0.1193353661568296
265     |       0.11801280796112942
586     |       0.11770242680781791
259     |       0.11508565120815296
278     |       0.11503826891540889
253     |       0.11438667866641514
21      |       0.10956821953021706
255     |       0.10768866249554221
4       |       0.10737328689874798
9       |       0.10593516745199463
561     |       0.10390119936082218
560     |       0.10373850981971776
269     |       0.10355547994953826
582     |       0.10259000314451949
12      |       0.10231308125621345
565     |       0.10205791920760532
27      |       0.10199667492314435
559     |       0.1018043110929687
273     |       0.10115396135543907
20      |       0.10014727484984264
5       |       0.10009074467842327
581     |       0.09899532291571077
570     |       0.09895743027199352
275     |       0.09883358897950033
3       |       0.09643569371581376
588     |       0.09576435022832754
568     |       0.09543271871167068
573     |       0.09486704492662765
25      |       0.09412400802325113
563     |       0.0929394420399887
267     |       0.09147633704200632
251     |       0.09133296686019186
567     |       0.09096363909805834
16      |       0.09084968561251824
268     |       0.09083329933482807
262     |       0.09028136221752385
589     |       0.08979616949755011
575     |       0.08859888393644917
566     |       0.08849379103954697
10      |       0.08819034044194476
270     |       0.08751609097199467
562     |       0.08687171405239366
8       |       0.08685621617223918
564     |       0.08613265927385526
7       |       0.08545523168440437
276     |       0.08525364639878909
571     |       0.08520117326737488
580     |       0.0840580048059905
574     |       0.08390746967756689
569     |       0.08282647891581159
578     |       0.08119280544827474
11      |       0.07940430659374266
264     |       0.07847726757008781
577     |       0.0778834405058405
31      |       0.07762064400449833
1       |       0.07713931091023245
274     |       0.07698030485872573
272     |       0.07586785901612986
24      |       0.07572179200576559
29      |       0.07359215499935468
13      |       0.07330520070392366
14      |       0.07284089864823709
30      |       0.07139516939264837
19      |       0.07019365919314956
587     |       0.06506165768550012
22      |       0.05947710100014556
23      |       0.05642471097306638
585     |       0.052321275070803294
28      |       0.05074662840519519
15      |       0.046908497827221694
26      |       0.046497385998354186
17      |       0.039793837577596886


Principal Component 2 Similarity Scores:
Gesture |       Score
584     |       0.5976682065062449
27      |       0.5806605417769348
276     |       0.39895532913503573
583     |       0.11069160175727358
581     |       0.10976045694534127
24      |       0.1009015065011168
258     |       0.10005258519859982
260     |       0.09202360439000688
254     |       0.08891047595623798
266     |       0.08322565103264715
252     |       0.07613221400488375
256     |       0.07367876196223395
279     |       0.06792022251642449
271     |       0.06382709131711806
253     |       0.06347740081826846
19      |       0.0603410312252452
263     |       0.05566141130915086
25      |       0.04997320879603078
250     |       0.049464064662009574
265     |       0.049124797339045526
586     |       0.045549973219261124
15      |       0.04369450162747692
259     |       0.04280340792771555
255     |       0.042284218596305184
4       |       0.04210817965154675
249     |       0.040948608444558644
6       |       0.03996436956996124
576     |       0.038072648779989594
563     |       0.0376567420376799
277     |       0.03762459858054422
2       |       0.03753084653205939
3       |       0.035156671345810006
261     |       0.03461450879882638
262     |       0.03398140673743047
273     |       0.03396438127156267
559     |       0.03350075216408686
579     |       0.0322720606565869
251     |       0.03031150434947768
5       |       0.03001050314424871
564     |       0.028689201501820947
12      |       0.028448528393573397
267     |       0.026540348635103107
560     |       0.02562085438447173
566     |       0.025597852276028194
562     |       0.024497724704249955
572     |       0.023900618122542995
571     |       0.02154050866531151
11      |       0.02137024330756054
588     |       0.021085034044269643
275     |       0.02107408163080611
272     |       0.02069273825062908
582     |       0.02058932447134555
1       |       0.020194586168120334
569     |       0.019688701672746188
573     |       0.019633498743220353
570     |       0.019111206222588845
30      |       0.018697414342145342
257     |       0.01869073857358619
575     |       0.018424613077848557
577     |       0.01819135989780669
31      |       0.017441365318104946
568     |       0.0173252569508645
8       |       0.01675424364884588
580     |       0.016716296554089332
574     |       0.01552567679500653
274     |       0.014185208439930415
23      |       0.013618164107212364
14      |       0.012574704025865028
22      |       0.011973285789306867
270     |       0.01144985463272756
278     |       0.011320467464577903
16      |       0.011285640971748858
268     |       0.01034020227626992
21      |       0.010106208024374529
264     |       0.009520147588268234
9       |       0.007232631318902531
10      |       0.007034647692826983
565     |       0.006552259748696635
589     |       0.006223838156735342
269     |       0.006117589232191439
20      |       0.005447534865780936
7       |       0.005396128379599404
587     |       0.005168462275090531
13      |       0.00478913826596703
561     |       0.0038774544633930035
28      |       0.003477717751175291
567     |       0.003451739477826995
18      |       0.003088912690983224
585     |       0.0018035223910864123
29      |       0.001570989612181267
578     |       0.0012640556213643357
17      |       0.0009109497963981531
26      |       0.0003052741130599056


Principal Component 3 Similarity Scores:
Gesture |       Score
258     |       0.30138329371378425
279     |       0.26032073572119346
260     |       0.24878147670404072
583     |       0.2402816047511091
584     |       0.2223945799872898
254     |       0.2052035391403869
266     |       0.190536678135027
579     |       0.18503806293480102
256     |       0.18182742725324835
581     |       0.18014463340687067
24      |       0.16734713685296596
252     |       0.16164608612570264
253     |       0.15846093352257704
27      |       0.15456943553246608
18      |       0.14876623231942573
271     |       0.1411138874274615
19      |       0.13854582113707103
25      |       0.13164807254303218
