Please select a vector model (TF/TF-IDF): TF
Creating gesture-gesture similarity matrix based on Dot product similarity...
Found Gesture-Gesture Similarity Matrix Performing NMF
Principal Component 1 Similarity Scores:
Gesture |       Score
276     |       0.6056842409474855
17      |       0.5653665508913991
267     |       0.4933336048598544
562     |       0.4609761243608453
19      |       0.4586477860433774
260     |       0.4479249371581225
569     |       0.4414948005766754
564     |       0.4392242081916116
566     |       0.43047592202449797
256     |       0.429703514693383
26      |       0.42932530665691665
266     |       0.4202235294732978
572     |       0.41800219813974154
8       |       0.4010392472936774
270     |       0.39706103146184435
28      |       0.392751665194449
573     |       0.3844544556706279
571     |       0.3657475920741725
31      |       0.3655243924349182
575     |       0.363991953629571
14      |       0.3599908286067711
22      |       0.3547687869030195
577     |       0.3496529666551669
272     |       0.3495074032749587
570     |       0.348220069254685
265     |       0.3319159693746674
255     |       0.318844516663895
574     |       0.3188374446995162
29      |       0.3182087963693438
23      |       0.31702596187892484
560     |       0.3025567300097289
251     |       0.3001858485521636
30      |       0.29860152481581503
262     |       0.293248381115263
567     |       0.29232921071155665
565     |       0.2898473824251716
27      |       0.28485820654199195
20      |       0.2801533737397757
263     |       0.2780497585428506
254     |       0.2774824156230266
264     |       0.2639954223783035
259     |       0.26200391518913846
277     |       0.2611156933287351
271     |       0.25393328458629233
25      |       0.25354929704645124
563     |       0.2520173377062578
24      |       0.24760209763104118
568     |       0.23918448401561995
4       |       0.23695153277687303
252     |       0.23307906177912316
16      |       0.2312232223384373
6       |       0.22860882337465202
253     |       0.2247360437703961
11      |       0.2243878989268876
250     |       0.21972450664942653
13      |       0.2167209693483447
2       |       0.21084445981137695
1       |       0.20867010005056696
12      |       0.19455372292212622
279     |       0.19323128591245617
559     |       0.1888561857732843
561     |       0.18414821464237088
15      |       0.17924204233508215
3       |       0.1696238196957346
7       |       0.16245961349362925
586     |       0.16225112495561583
585     |       0.1559573748327984
275     |       0.15230987426642673
9       |       0.14442580385476284
582     |       0.14248545341337474
576     |       0.137212814774268
10      |       0.13582903028229446
5       |       0.13526486968289267
261     |       0.1312912809502532
258     |       0.12628592217997192
589     |       0.12488128643860136
269     |       0.12300550959207972
584     |       0.10968206386946901
578     |       0.10358378344517069
588     |       0.10358063944939991
278     |       0.09713244874394628
273     |       0.09652038998273639
274     |       0.09063344495609615
249     |       0.08795135686839327
580     |       0.07463156880970814
268     |       0.06958317447173755
587     |       0.06848752171601025
581     |       0.06665722448850239
18      |       0.06249059444070034
583     |       0.04370746959665734
21      |       0.0
257     |       0.0
579     |       0.0


Principal Component 2 Similarity Scores:
Gesture |       Score
273     |       0.5859198886567252
275     |       0.5420078352399617
258     |       0.5128386635074883
253     |       0.4923521718345645
263     |       0.4904792200391032
262     |       0.46702226742420055
277     |       0.4555126546033838
274     |       0.44682120361505134
265     |       0.4402265687863512
255     |       0.42869895439676076
268     |       0.4266658402040954
256     |       0.41561590318455677
254     |       0.375356019225815
271     |       0.3651175604758342
266     |       0.35621585320349614
279     |       0.35350331240026966
15      |       0.3510835671067096
252     |       0.33684475658290275
257     |       0.31301745905706024
260     |       0.31257804766493474
581     |       0.2991170545310216
586     |       0.2909580646299441
278     |       0.2866935892494983
261     |       0.28477997995775595
267     |       0.27403585557016646
250     |       0.26410170337011435
588     |       0.2625178211006026
4       |       0.2605168657145293
584     |       0.2556302754229533
585     |       0.24910144457093114
30      |       0.24599076637461684
251     |       0.2422628748408209
276     |       0.24140592195649146
580     |       0.22409864508284177
564     |       0.22388909607039317
23      |       0.22178884835997625
577     |       0.2198357952853477
576     |       0.21946912321783402
1       |       0.21695950453447171
272     |       0.20828697992482448
264     |       0.20255679264940513
12      |       0.20201817925591764
587     |       0.19380938713698834
249     |       0.1888014654666344
559     |       0.18831414100143828
259     |       0.17484499490014993
269     |       0.17316742977644115
578     |       0.16407965580881634
21      |       0.16198177261455193
582     |       0.16070764523211958
20      |       0.15916829203755928
7       |       0.15356310487569735
567     |       0.14778184525869995
560     |       0.1373789033460462
568     |       0.13589524345997805
31      |       0.13208533610919804
569     |       0.13048661800908223
575     |       0.12709371404957528
24      |       0.12484988125876513
579     |       0.12375221539454768
2       |       0.11826639160938963
29      |       0.11706675508519866
565     |       0.11018931682994218
14      |       0.10737047426103517
11      |       0.10584984024390841
22      |       0.0978734300057731
270     |       0.09326749723082942
563     |       0.0930514165677916
3       |       0.09096851418149185
5       |       0.09087258924795998
574     |       0.08624001537500334
6       |       0.08467684735862559
16      |       0.08164567922592841
561     |       0.08042488233728079
27      |       0.07999651568577955
589     |       0.07895740960303345
26      |       0.07806601124520007
19      |       0.07738978276880687
562     |       0.07251287865747669
583     |       0.07071139051771053
9       |       0.054143642880882005
571     |       0.048835398037842793
17      |       0.04827138613665385
566     |       0.019124033730946153
25      |       0.017011927839483392
13      |       0.015920903890166975
10      |       0.01355409434606324
570     |       0.005885131176616239
8       |       0.0
18      |       0.0
28      |       0.0
572     |       0.0
573     |       0.0


Principal Component 3 Similarity Scores:
Gesture |       Score
5       |       0.5863397259873557
7       |       0.5377297877536472
257     |       0.4389062396444634
10      |       0.4241475733247397
567     |       0.40051823331019554
13      |       0.39987330753432576
565     |       0.37590762495663066
249     |       0.36638772578688084
18      |       0.3522743689840177
261     |       0.3428106721610247
561     |       0.3416904668667426
23      |       0.3381469869711415
253     |       0.33588838440105795
563     |       0.3312488990991141
571     |       0.30851693437863786
21      |       0.3072621044563706
251     |       0.30559217782706816
11      |       0.2986362657560093
255     |       0.297110776841194
576     |       0.296927193796823
272     |       0.29038273880636617
