Please select a vector model (TF/TF-IDF): TF
Creating gesture-gesture similarity matrix based on LDA...
Found Gesture-Gesture Similarity Matrix Performing NMF
Principal Component 1 Similarity Scores:
Gesture |       Score
273     |       0.9564698284974816
560     |       0.956456207757785
588     |       0.956448428494838
565     |       0.9564471757677012
11      |       0.9564415397437719
586     |       0.9563788007370538
258     |       0.9563641470127655
263     |       0.9552026416100478
268     |       0.9545243277132744
278     |       0.9514879839977839
562     |       0.9479907075256184
279     |       0.9432061582311307
571     |       0.9430432991572891
587     |       0.9425430765303869
581     |       0.9425184295615472
563     |       0.9419438978916809
567     |       0.939068550087946
584     |       0.9389913734577982
7       |       0.9373865235186057
267     |       0.935440028247769
575     |       0.9340944068804026
577     |       0.93108087197004
1       |       0.9282113200946551
20      |       0.9243256534413271
580     |       0.9208907485237069
14      |       0.9176494342691693
12      |       0.916789587510663
4       |       0.9162437481401263
5       |       0.9162115074774739
566     |       0.9099347865047738
578     |       0.9094192843808236
256     |       0.906186405159328
251     |       0.9029125486333017
265     |       0.9027451112054529
13      |       0.8987550997007212
28      |       0.8952876679635835
29      |       0.8950967335268627
277     |       0.8945249976133636
564     |       0.8935035533245155
585     |       0.8906863482447935
574     |       0.8842306497098189
19      |       0.884106716915577
31      |       0.8835612528367165
274     |       0.882122862192648
26      |       0.8784691258923136
270     |       0.8715202653360313
8       |       0.8709869304150528
255     |       0.8688121253620105
272     |       0.8683953424896936
27      |       0.8676992665698137
569     |       0.865781371512914
262     |       0.8646714597773535
24      |       0.8637461022676497
22      |       0.8628204902243344
16      |       0.8419403460573203
30      |       0.8335788844253861
275     |       0.8278675210265369
253     |       0.8228342146764162
10      |       0.8193154678046972
25      |       0.8147345371000733
21      |       0.8145648893956067
250     |       0.8030714536417598
568     |       0.7925690898214971
266     |       0.7914467372396552
261     |       0.7876193616604958
582     |       0.7843173503183288
589     |       0.7810377634241925
17      |       0.7794901818344581
260     |       0.7687528990589363
259     |       0.7658477677632812
269     |       0.7650723935632844
271     |       0.7625311664901868
576     |       0.7564986558893881
3       |       0.7478227695677356
23      |       0.7423902780963659
252     |       0.7381968496350084
264     |       0.7376199767147639
2       |       0.7342554346295299
15      |       0.7321442059556792
561     |       0.7285851633973429
573     |       0.7280476275225217
257     |       0.7251189780323734
559     |       0.724773273435156
276     |       0.7223937672268312
570     |       0.7161777728650706
254     |       0.7065092484075478
9       |       0.6816958931110664
249     |       0.6661269758870791
6       |       0.63874000624059
579     |       0.6271071639275921
583     |       0.5872183031857718
18      |       0.580560881569705
572     |       0.5627739866523305


Principal Component 2 Similarity Scores:
Gesture |       Score
572     |       0.7337427834245555
18      |       0.7327141870680625
583     |       0.7317903259188951
579     |       0.7197928625555473
6       |       0.7141093108414356
249     |       0.6965727997033363
9       |       0.6838784234929424
254     |       0.6593108514026593
570     |       0.6482279373584733
559     |       0.6376345715677045
257     |       0.6371936727902958
573     |       0.6334120052923289
561     |       0.6327088195963999
2       |       0.6251180131981198
264     |       0.620462937068489
252     |       0.6196533943896243
3       |       0.6056459235105952
576     |       0.5921983167274055
271     |       0.5823766460568541
269     |       0.5781213934361328
259     |       0.5768089955769597
260     |       0.5718329957548759
589     |       0.5497476076961019
582     |       0.5435604717092409
261     |       0.5372044833003907
266     |       0.5296765002579197
568     |       0.5274359443454207
250     |       0.5057315304278307
21      |       0.4804086472295841
25      |       0.480022259546635
10      |       0.4694474350154584
16      |       0.4130863707278825
8       |       0.3299129932457518
270     |       0.32826426070487447
574     |       0.2875991368838952
13      |       0.23777576705375145
578     |       0.19878874474099673
566     |       0.1968505252999584
575     |       0.10015737035042528
584     |       0.07909334354635383
563     |       0.06614193148962266
571     |       0.061270317236738425
268     |       0.008763655951343203
15      |       2.96228081328001e-05
23      |       2.9576685303099444e-05
17      |       2.9128150223302632e-05
253     |       2.788554916096282e-05
275     |       2.7676196415178556e-05
30      |       2.741886001280507e-05
22      |       2.570981245060578e-05
24      |       2.564310919332718e-05
262     |       2.557552501064698e-05
569     |       2.549325772135614e-05
27      |       2.5347936757370993e-05
272     |       2.5294181878729426e-05
255     |       2.526173337202755e-05
26      |       2.4451199436286964e-05
274     |       2.4112616540635737e-05
31      |       2.3974047784590315e-05
19      |       2.3920690568416285e-05
585     |       2.323981312343277e-05
564     |       2.2925649174994114e-05
277     |       2.280811595455424e-05
29      |       2.2741456752738148e-05
28      |       2.271905403243675e-05
265     |       2.1784630948492773e-05
251     |       2.1762227125747608e-05
256     |       2.1310298989405778e-05
5       |       1.9737554007296165e-05
4       |       1.97319655532044e-05
12      |       1.9636768009563467e-05
14      |       1.9484532304584046e-05
580     |       1.8884082547709114e-05
20      |       1.81968873441451e-05
1       |       1.7345605449614676e-05
577     |       1.6657328853336845e-05
267     |       1.5492175223176775e-05
7       |       1.4915211796613886e-05
567     |       1.4382521222320469e-05
581     |       1.3168859617029929e-05
587     |       1.3159502198416848e-05
279     |       1.2903554588652107e-05
562     |       1.0753153749224898e-05
278     |       8.634972184145604e-06
263     |       4.957350551625996e-06
258     |       2.1771807290459384e-06
273     |       1.3971971887244932e-06
560     |       1.6110763974694478e-07
588     |       8.914025957100643e-08
565     |       7.869524385450329e-08
11      |       3.7227189795924816e-08
276     |       0.0
586     |       0.0


Principal Component 3 Similarity Scores:
Gesture |       Score
276     |       0.9659269282435622
15      |       0.9654442369298462
23      |       0.9640997465561685
17      |       0.9501530658836922
253     |       0.9106873701436823
275     |       0.9040065795739505
30      |       0.8957879232545124
22      |       0.8410842833217813
24      |       0.8389462183228701
