Creating gesture-gesture similarity matrix based on PCA...
Found Gesture-Gesture Similarity Matrix Performing SVD
Principal Component 1 Similarity Scores:
Gesture |       Score
31      |       0.16355506665565434
30      |       0.16327020475778953
14      |       0.16147921096811857
23      |       0.1613169472525658
2       |       0.15939894669003288
22      |       0.15753563951526847
26      |       0.15596700741146868
4       |       0.15440707074563734
270     |       0.15375728308338593
24      |       0.1525826312768066
272     |       0.1520085838024803
12      |       0.15175907528467958
276     |       0.15169809978371618
19      |       0.15113717564856927
560     |       0.15025326779884599
27      |       0.15017353915509035
1       |       0.15006720312276622
559     |       0.14901276668412863
20      |       0.1488417470987468
574     |       0.14360256405627392
16      |       0.14240854162742658
29      |       0.14229979555263716
17      |       0.14207231321038366
577     |       0.14105398454066762
279     |       0.13895620882582108
11      |       0.1383669852957912
251     |       0.13323996233048316
15      |       0.13003257728938397
277     |       0.12983279769448308
28      |       0.12680750572801636
269     |       0.12414150396910206
25      |       0.12103618626367163
575     |       0.12078589852576255
568     |       0.11918762238969519
274     |       0.11375101025406295
564     |       0.11118176943710956
264     |       0.11104346794992488
271     |       0.10999663461446235
563     |       0.10889095243978394
278     |       0.10552664287981979
9       |       0.10403594920552935
268     |       0.10147815816207678
8       |       0.1014090961221514
569     |       0.10045867483969503
3       |       0.09933748517034276
13      |       0.09677989215561707
259     |       0.09536144849852313
275     |       0.09488180259601063
273     |       0.08665065185642147
573     |       0.08241423580792777
576     |       0.08152958845910607
562     |       0.07795932493794484
561     |       0.07787559490461192
587     |       0.07369958752180518
584     |       0.0733525440712499
566     |       0.072678700281358
260     |       0.07106158907100302
585     |       0.0701757164228787
6       |       0.06941580402208358
5       |       0.06723850063850997
255     |       0.0654457969904443
250     |       0.06383780048387216
588     |       0.06281515328005
256     |       0.061695188030945425
10      |       0.06104405602535148
7       |       0.06021567460125622
571     |       0.06003606059030184
580     |       0.05995052208974101
254     |       0.055246161982096885
267     |       0.05523012298592242
586     |       0.053413819694836204
581     |       0.050806528546426616
262     |       0.04756149324386867
583     |       0.04711987422579855
253     |       0.04381832028167379
266     |       0.03897917520748379
249     |       0.03655340062516548
261     |       0.0364979761740858
570     |       0.03611145821003469
258     |       0.034897567458729684
578     |       0.03486291620131331
567     |       0.03255560533446293
252     |       0.01798558553865883
263     |       0.01598152556050489
579     |       0.015557206133669555
18      |       0.014430959364373764
589     |       0.014315798860705508
565     |       0.010054144694400177
582     |       0.007670680224555339
21      |       0.0024066776781411763
572     |       0.002146010230427315
265     |       0.00015676403664536206
257     |       5.13973664560598e-05


Principal Component 2 Similarity Scores:
Gesture |       Score
565     |       0.19919986847837387
586     |       0.18223239963348065
571     |       0.18077761140375143
250     |       0.1777470565883614
18      |       0.17542462132017356
275     |       0.16969453383404523
263     |       0.169122247375835
567     |       0.16577959124271668
268     |       0.1632179265357931
581     |       0.1550010441309419
563     |       0.15398795447632183
588     |       0.15237199850493785
10      |       0.15211816098336764
13      |       0.15157731057773757
584     |       0.1486094152475665
8       |       0.1438166042448112
561     |       0.1435024473108276
274     |       0.14329187975366303
273     |       0.14300662513328172
265     |       0.14104130120019132
566     |       0.13695918652542957
256     |       0.13559910868107133
252     |       0.1348052136286044
258     |       0.1305889109902896
278     |       0.1295636643496171
25      |       0.12807753127668206
277     |       0.12729278071910635
585     |       0.12409722918744985
5       |       0.12089664698862918
266     |       0.12042826116005585
279     |       0.11837561935981869
573     |       0.1160021336589813
9       |       0.11564477853514546
262     |       0.11414899558877616
562     |       0.11062095783912212
582     |       0.10971322208546566
3       |       0.10827901315181632
264     |       0.10794725084525139
253     |       0.10745772706076658
7       |       0.10669694794519816
254     |       0.1031748353132611
580     |       0.10123742706932318
15      |       0.09996525211511985
569     |       0.09816752877716642
568     |       0.09805569106514127
271     |       0.09779797550901449
559     |       0.09689945939505869
16      |       0.09687660464250299
11      |       0.09376971626206368
578     |       0.09057930460452233
28      |       0.0885378168703197
574     |       0.08765742801116143
560     |       0.0757730397785466
4       |       0.07573674229826537
267     |       0.07468105641514909
587     |       0.0734569018726591
260     |       0.06714252313684596
255     |       0.06548616850744861
17      |       0.060343940128341246
583     |       0.05864462162832677
270     |       0.05385200394305097
14      |       0.05234852259057753
572     |       0.04847861025312927
269     |       0.04693400483851029
249     |       0.04356942135044372
259     |       0.04250254541418354
26      |       0.041368981231562435
19      |       0.03993650590633943
22      |       0.039799878636495
272     |       0.03921555718169993
24      |       0.03908617001565801
2       |       0.03865997038018346
30      |       0.03856687404455587
21      |       0.03742824296220301
577     |       0.03692417896693328
579     |       0.036860589844444985
20      |       0.03674599255285808
570     |       0.03502383177710499
31      |       0.03491003105671311
27      |       0.033358997867893876
6       |       0.031941047514706854
575     |       0.03039879901769413
12      |       0.029636923072163392
589     |       0.027510104583825825
276     |       0.027107675326851856
23      |       0.01685930233390169
257     |       0.016273003320452332
251     |       0.014816190026295245
261     |       0.010146724255950569
564     |       0.007777398897152481
1       |       0.0050370443687858734
29      |       0.004060338784377989
576     |       0.0035211640153588004


Principal Component 3 Similarity Scores:
Gesture |       Score
589     |       0.21808418019471026
583     |       0.20790363505995738
578     |       0.1996487400992969
582     |       0.18673262379008995
255     |       0.1864503462794068
254     |       0.18383869970393532
259     |       0.17947905441457698
580     |       0.17854997611579568
252     |       0.17558360433996884
587     |       0.17474173398734572
262     |       0.1731739079559175
21      |       0.17106215919201428
265     |       0.1695862345056836
260     |       0.1648708482767547
585     |       0.15781055213492798
579     |       0.15500580398191963
253     |       0.15118524470072905
261     |       0.14649291512145726
263     |       0.13864083231006852
581     |       0.135549299866906
258     |       0.13544037956580382
588     |       0.13415196614390051
271     |       0.13398669212356557
584     |       0.12733758648752533
3       |       0.12705522852243237
251     |       0.11960550351445035
564     |       0.11941179742828378
266     |       0.11920326541493431
256     |       0.11885065865776749
567     |       0.11818784174544157
6       |       0.10710157881093982
249     |       0.10321153789595418
278     |       0.10226866802210803
29      |       0.10049798763406033
267     |       0.09902773867057588
576     |       0.0986346478514938
568     |       0.09798024717451508
9       |       0.0978279472144025
586     |       0.0937868403452451
27      |       0.09171910092074928
250     |       0.09110126318801642
570     |       0.08973988379229077
273     |       0.08716523517674882
565     |       0.08635557432687362
20      |       0.08562905324239792
28      |       0.08454327338744977
272     |       0.0813949945701085
257     |       0.08013880796088814
25      |       0.0795989769974266
18      |       0.0784589979469015
577     |       0.07751600214333351
15      |       0.07740107934495413
269     |       0.0770064256325955
12      |       0.06547072034753063
7       |       0.06366089776962026
24      |       0.06193243807823763
562     |       0.06090905653305636
560     |       0.05655708779818045
264     |       0.056353341108810635
22      |       0.0537963187783222
270     |       0.05264353040269469
561     |       0.052056764049483034
