Please select a vector model (TF/TF-IDF): TF-IDF
Creating gesture-gesture similarity matrix based on NMF...
Found Gesture-Gesture Similarity Matrix Performing NMF
Principal Component 1 Similarity Scores:
Gesture |       Score
26      |       0.20807592703203923
561     |       0.20743876302307965
9       |       0.207041329807553
18      |       0.19675434703273365
585     |       0.19503301291430594
579     |       0.18178437076257992
572     |       0.18167801185177035
264     |       0.1803133136494199
568     |       0.18029850209216852
587     |       0.17784269934642227
269     |       0.1759003891377002
13      |       0.17346568188338302
261     |       0.1729220501914274
578     |       0.17003652478225223
21      |       0.16915975480433298
14      |       0.16793881588201862
8       |       0.1634179392281697
570     |       0.16327662923668546
270     |       0.16293830915567348
573     |       0.1599611833829513
31      |       0.1572280099022475
582     |       0.15706558015063604
569     |       0.155472015927057
575     |       0.15290109468879165
571     |       0.1525044351797733
577     |       0.15226651725873108
588     |       0.1492462654189812
574     |       0.14731736640675958
560     |       0.14595984701086495
